row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene1912,5.027646192,11.52324804,4.14E-67,1.59E-63,0.057456741,1,1716,625,1289,5244,7409,4654,6456,3235
gene2638,5.394417177,12.11835534,7.38E-66,1.42E-62,0.065124499,1,1996,690,1713,5874,10102,8226,9212,4789
gene2641,6.191137772,13.27018639,8.73E-64,1.12E-60,0.082201767,1,2624,860,2415,6880,21444,21483,19394,9302
gene1057,4.509104308,8.745210295,1.45E-63,1.40E-60,0.049703038,1,410,115,289,1003,965,653,1062,484
gene2639,5.289304675,11.75282761,4.46E-63,3.42E-60,0.066101826,1,1972,591,1246,4700,6885,6706,7094,3929
gene2078,4.447334274,8.052395676,6.64E-63,4.25E-60,0.048515215,1,285,53,185,785,607,343,702,331
gene2640,6.025286982,13.67538751,2.26E-60,1.24E-57,0.083678092,1,5377,970,3409,9978,45397,19117,21778,13528
gene3149,4.690413362,9.486556223,5.73E-59,2.75E-56,0.058051432,1,734,131,377,1703,1964,984,1556,834
gene3407,4.882755871,11.02782453,7.21E-59,3.08E-56,0.062858744,1,1346,475,1012,4213,5738,3412,4740,1845
gene2077,4.256471015,7.993830766,6.81E-58,2.62E-55,0.049087419,1,363,78,184,626,644,364,631,268
gene2646,4.910997867,14.91742274,2.88E-56,1.01E-53,0.066484271,1,19757,5971,17646,56862,93736,44715,65135,30329
gene3337,6.089548849,10.422896,6.12E-56,1.96E-53,0.090945204,1,408,87,392,1242,4942,1707,3484,1038
gene3583,4.741020853,8.520018569,8.66E-55,2.56E-52,0.062733405,1,240,70,241,902,760,413,1128,485
gene2071,4.593813987,10.36183307,5.52E-53,1.51E-50,0.063736601,1,1329,301,929,2365,2606,1905,3635,1552
gene2067,4.532067731,10.86275337,1.57E-52,4.03E-50,0.062965204,1,1619,480,1480,3557,4383,2704,4336,2193
gene2636,5.014683371,11.28791474,5.50E-50,1.27E-47,0.077517031,1,1116,435,1582,4374,6803,3859,5024,2788
gene2080,4.713763498,9.435999428,5.61E-50,1.27E-47,0.069477663,1,765,124,393,1302,1803,766,2211,678
gene3336,5.443893404,10.75289188,6.41E-49,1.37E-46,0.089715922,1,621,188,789,2620,5559,1986,5103,1364
gene2072,3.560176798,8.030823621,1.23E-47,2.48E-45,0.045054231,1,410,140,292,1356,545,353,630,323
gene2063,3.749970735,8.842285549,5.91E-47,1.14E-44,0.050960045,1,723,209,452,1921,882,723,1120,517
gene2070,3.989949932,9.859533775,7.99E-47,1.46E-44,0.057798792,1,1297,308,940,3004,1789,1451,2273,1083
gene2644,5.702988233,14.67927679,8.36E-47,1.46E-44,0.100454508,1,8166,3048,10896,22541,54999,57326,50004,25451
gene738,4.76608369,13.82147924,2.84E-46,4.75E-44,0.077709666,1,8744,2910,9571,32833,43605,23512,27272,13330
gene2643,6.116511202,14.66171889,3.12E-46,5.00E-44,0.112521642,1,5057,2826,7716,15787,65995,54576,43615,24300
gene2637,4.373474365,10.29895539,3.28E-46,5.04E-44,0.068026728,1,1065,269,1054,4232,2358,1888,3266,1564
gene3753,-3.851494727,8.256035124,6.56E-46,9.70E-44,0.049829436,-1,6049,1883,3643,18939,57,26,42,25
gene1862,3.922157433,8.714568427,3.27E-45,4.66E-43,0.057027301,1,702,152,408,1303,1006,454,1259,457
gene2948,4.248673409,9.890176995,9.97E-45,1.37E-42,0.067149072,1,1363,260,593,2918,2961,1029,2354,947
gene1032,4.793829534,9.42275549,4.49E-44,5.95E-42,0.081426343,1,749,115,301,1445,1869,526,2015,926
gene2081,4.180680057,9.927184728,4.83E-43,6.18E-41,0.068063144,1,1367,293,743,2794,2030,1876,1983,966
gene2364,-4.402409632,7.161547736,1.51E-42,1.87E-40,0.059314403,-1,2947,898,1830,8053,8,8,22,10
gene2911,4.349293016,10.41880549,1.83E-42,2.19E-40,0.073558884,1,1464,403,907,3973.52,2002,2668,3492,1466
gene2913,3.682769157,11.45696467,2.10E-42,2.44E-40,0.056292952,1,4873,1207,2969,12232,5606,4622,6697,2843
gene1172,-4.573610929,7.261626061,1.10E-41,1.24E-39,0.065654048,-1,3295,669,2848,7563,10,8,19,9
gene2082,4.063190535,10.03438279,1.66E-41,1.82E-39,0.067516289,1,1270,356,890,3849,1528,1783,2657,1318
gene2083,3.682209574,8.333108288,7.16E-41,7.64E-39,0.056887543,1,730,119,338,1187,763,380,769,410
gene1611,3.501238707,10.39058532,1.20E-40,1.25E-38,0.053958427,1,2567,707,1665,5820,3143,1816,3169,1423
gene2608,-3.487868342,8.305068984,2.05E-40,2.07E-38,0.049051061,-1,6872,1865,3604,18247,58,41,73,26
gene2794,-4.148176305,7.161990977,6.54E-40,6.44E-38,0.057251424,-1,2949,953,1640,8018,15,15,14,11
gene1631,3.769397107,11.70022503,1.31E-39,1.26E-37,0.062813349,1,6101,1393,3446,10998,7354,5561,6758,3535
gene2076,4.178606051,9.741657471,1.00E-38,9.39E-37,0.075937827,1,1245,236,659,2547,1310,1690,1842,1015
