gene3604,GO:0008170
gene3605,GO:0006629
gene3606,GO:0006457
gene3600,GO:0016021
gene3603,GO:0006355
gene3608,GO:0016021
gene3869,GO:0048502
gene3166,GO:0030170
gene3118,GO:0043531
gene3119,GO:0046872
gene3111,GO:0050662
gene3115,GO:0008080
gene3288,GO:0016020
gene3280,GO:0097175
gene3281,GO:0016301
gene3282,GO:0008233
gene3283,GO:0008861
gene3284,GO:0051536
gene3286,GO:0050660
gene3287,GO:0055085
gene3866,GO:0009316
gene3866,GO:0016853
gene617,GO:0006351
gene615,GO:0016020
gene2456,GO:0006235
gene2457,GO:0016021
gene2326,GO:0016887
gene4039,GO:0006457
gene4036,GO:0070814
gene4037,GO:0070814
gene4034,GO:0016301
gene4035,GO:0070814
gene2896,GO:0006355
gene2894,GO:0016740
gene955,GO:0005524
gene2329,GO:0070043
gene1287,GO:0042158
gene1284,GO:0016021
gene1285,GO:0016887
gene1282,GO:0009432
gene1283,GO:0006351
gene1280,GO:0016491
gene1281,GO:0016021
gene3463,GO:0016021
gene213,GO:0016791
gene212,GO:0048474
gene211,GO:0016021
gene1350,GO:0006351
gene1351,GO:0016021
gene1353,GO:0004523
gene1354,GO:0071470
gene1357,GO:0051539
gene529,GO:0008026
gene528,GO:0016742
gene521,GO:0046914
gene522,GO:0016021
gene524,GO:0016787
gene526,GO:0006420
gene859,GO:0043565
gene858,GO:0006032
gene1037,GO:0070043
gene1031,GO:0030163
gene1030,GO:0051301
gene1033,GO:0006417
gene1032,GO:0047451
gene851,GO:0070041
gene850,GO:0016887
gene1039,GO:0044205
gene854,GO:0042597
gene857,GO:0016020
gene856,GO:0051539
gene3851,GO:0016884
gene3850,GO:0006412
gene3853,GO:0016987
gene3852,GO:1990077
gene3855,GO:0030955
gene458,GO:0008969
gene329,GO:0006457
gene328,GO:0055085
gene3859,GO:0003824
gene454,GO:0051287
gene324,GO:0052837
gene322,GO:0016020
gene453,GO:0006635
gene452,GO:0016987
gene2250,GO:0016831
gene2250,GO:0008792
gene2251,GO:0006355
gene145,GO:0006541
gene144,GO:0030170
gene2255,GO:0055085
gene141,GO:0019867
gene2257,GO:0008199
gene2258,GO:0006950
gene2259,GO:0016021
gene148,GO:0019877
gene1728,GO:0065002
gene1721,GO:0051536
gene1720,GO:0051536
gene1723,GO:0051537
gene1722,GO:0051537
gene1725,GO:0046855
gene1724,GO:0008173
gene1727,GO:0065002
gene1331,GO:0030246
gene663,GO:0006260
gene660,GO:0016831
gene666,GO:0030170
gene667,GO:0016021
gene664,GO:0061542
gene665,GO:0006265
gene2416,GO:0008080
gene2414,GO:0008408
gene2415,GO:0046872
gene2412,GO:0016149
gene2413,GO:0008080
gene2419,GO:0008233
gene1337,GO:0035435
gene669,GO:0016020
gene1619,GO:0009058
gene1615,GO:0009234
gene1614,GO:0055085
gene1617,GO:0070205
gene1616,GO:0016836
gene1613,GO:0003677
gene2091,GO:0006457
gene2096,GO:0015503
gene2097,GO:1901381
gene2094,GO:0006457
gene1708,GO:0006427
gene2098,GO:0016887
gene3275,GO:0004252
gene3274,GO:0016021
gene3276,GO:0017153
gene3271,GO:0046872
gene3270,GO:0016787
gene3279,GO:0030246
gene3278,GO:0005525
gene2674,GO:0008171
gene2078,GO:0019843
gene3072,GO:0019545
gene3071,GO:0016020
gene3070,GO:0055085
gene3077,GO:0016868
gene3075,GO:0019013
gene2070,GO:0019843
gene2071,GO:0019843
gene3079,GO:0016021
gene2073,GO:0019843
gene2074,GO:0006412
gene2075,GO:0019843
gene2076,GO:0019843
gene2138,GO:0030170
gene3029,GO:0022877
gene1501,GO:0005886
gene1500,GO:0016783
gene1503,GO:0016021
gene1502,GO:0070626
gene1504,GO:0016021
gene3479,GO:0008324
gene1509,GO:0016887
gene1508,GO:0016887
gene3474,GO:0043190
gene3473,GO:0016491
gene3472,GO:0006351
gene3471,GO:0008080
gene3470,GO:0034480
gene3615,GO:0016491
gene3614,GO:0005622
gene3613,GO:0016020
gene3612,GO:0005622
gene3610,GO:0042626
gene3409,GO:0008080
gene2527,GO:0005215
gene2524,GO:0006207
gene636,GO:0006260
gene2525,GO:0016787
gene2523,GO:0016861
gene2444,GO:0051745
gene787,GO:0051539
gene830,GO:0016021
gene519,GO:0046872
gene3103,GO:0016810
gene3102,GO:0006351
gene3106,GO:0015074
gene3105,GO:0008794
gene3104,GO:0016021
gene835,GO:0016740
gene3292,GO:0008168
gene3291,GO:0046872
gene3290,GO:0055114
gene3296,GO:0019867
gene3295,GO:0016740
gene3294,GO:0016717
gene396,GO:0071973
gene92,GO:0003677
gene90,GO:0016817
gene96,GO:0006260
